Trajectory ID,Step,Current State,Real Action,Next State,Real Reward,Timestep,Possible Action 1,Action 1 Next State,Action 1 Reward,Possible Action 2,Action 2 Next State,Action 2 Reward
0,0,19,1,24,1.0983898639678955,10,1,24,1.0983898639678955,4,25,3.150815486907959
0,1,24,0,348,-0.9094992876052856,10,1,349,-0.8832622766494751,0,348,-0.9094992876052856
0,2,348,6,347,0.2965679168701172,10,6,347,0.2965679168701172
0,3,347,6,83,1.6228320598602295,10,4,82,12.9015474319458,6,83,1.6228320598602295
0,4,83,6,77,2.5643959045410156,10,2,76,8.079029083251953,4,78,9.110593795776367,6,77,2.5643959045410156
0,5,77,6,75,1.6074438095092773,10,6,75,1.6074438095092773,0,74,23.33637237548828
0,6,75,6,310,1.9921600818634033,10,4,309,9.876124382019043,6,310,1.9921600818634033
0,7,310,6,237,1.5312798023223877,10,6,237,1.5312798023223877,0,236,16.674161911010742
0,8,237,6,233,1.945266842842102,10,4,232,4.905666828155518,6,233,1.945266842842102
0,9,233,6,234,-0.0902281180024147,10,3,235,4.527164459228516,6,234,-0.0902281180024147
0,10,234,7,200,1.352677345275879,10,7,200,1.352677345275879
0,11,200,7,208,1.4597785472869873,10,1,209,10.223592758178711,7,208,1.4597785472869873
0,12,208,7,145,1.9531744718551636,10,1,144,9.614002227783203,7,145,1.9531744718551636
0,13,145,7,146,1.7745310068130493,10,5,147,4.172963619232178,7,146,1.7745310068130493
0,14,146,7,148,1.996678352355957,10,7,148,1.996678352355957
0,15,148,7,227,1.8286685943603516,10,7,227,1.8286685943603516
0,16,227,7,151,1.3969905376434326,10,1,149,5.891015529632568,5,150,4.170672416687012,7,151,1.3969905376434326
0,17,151,7,152,2.429859161376953,10,7,152,2.429859161376953
0,18,152,7,154,1.870274543762207,10,1,153,3.0798091888427734,7,154,1.870274543762207
0,19,154,4,4,2.5003490447998047,10,4,4,2.5003490447998047
1,0,48,6,45,0.909868061542511,10,4,44,7.646778583526611,6,45,0.909868061542511
