Test Trajectory,Test Trajectory Timestep,Learner Trajectory,Learner Trajectory Timestep
345_169_369_168_374_156_157_176_177_189_190_211_202_234_200_208_144,12,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_88_0_366_351_248_31_357_40_50_20_23_73_22_329_88_0_366_351_248_31_357_40_50_20_23,12
324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_147,10,324_326_280_397_385_91_85_313_79_81_117_301_382_275_273_372_306_0_366_351_248_30_237_233_234_200_208_145_146_148_227_151_152_154_4_0_366_351_248_30_237_233_234_200_208_145_146_148_227_151_152,10
324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_147,10,324_326_280_397_385_91_85_313_79_81_117_301_382_275_273_372_306_0_366_351_248_30_237_233_234_200_208_145_146_148_227_151_152_154_4_0_366_351_248_30_237_233_234_200_208_145_146_148_227_151_152,10
324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_147,13,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4_0_366_351_248_30_237_233_234_200_208_145_146_148_227_151_152_154_4_0_366_351_248_30_237_233,13
324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154,13,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_153_156_157_176_177_188_147_0_366_351_248_30_237_233_234_200_208_145_146_148_227_151_152_153_156_157_176,13
324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154,13,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_153_156_157_176_177_188_147_0_366_351_248_30_237_233_234_200_208_145_146_148_227_151_152_153_156_157_176,13
324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154,14,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_153_156_157_176_177_188_147_0_366_351_248_30_237_233_234_200_208_145_146_148_227_151_152_153_156_157_176,14
55_132_134_52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179_418_251_163_258_162,12,55_132_134_52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179_418_251_163_258_162,12
238_400_287_200_208_145_146_148_227_151_152_153_155_163_258_162,11,238_400_287_200_208_145_146_148_227_151_152_153_155_163_258_162,11
238_400_287_200_208_145_146_148_227_151_152_153_155_163_258_162,11,238_400_287_200_208_145_146_148_227_151_152_153_155_163_258_162,11
324_326_280_397_385_91_85_314_347_83_77_75_310_236_376_231_198_196_195_180_315_185_179_418_251_163_258_162,11,324_326_280_397_385_90_88_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179_418_251_163_258_162,11
331_52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179_418_251_163_258_162,12,331_52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179_418_251_163_258_162,12
331_52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179_418_251_164_174,12,331_52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179_418_251_164_174,12
55_132_134_52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179,13,55_132_134_52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179,13
55_132_134_52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179,13,55_132_134_52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179,13
55_132_134_52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179,13,55_132_134_52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179,13
55_132_134_52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179,13,55_132_134_52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179,13
55_132_134_52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179,13,55_132_134_52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179,13
55_132_134_52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179,13,55_132_134_52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179,13
55_132_134_52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179,13,55_132_134_52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179,13
135_320_131_134_52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179,12,135_320_131_134_52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179,12
324_326_280_397_385_91_85_314_347_83_77_75_310_236_376_231_198_196_195_180_315_185_179,11,324_326_280_397_385_91_85_314_347_83_77_75_310_236_376_231_198_196_195_180_315_185_179,11
324_326_280_397_385_91_85_314_347_83_77_75_310_236_376_231_198_196_195_180_315_185_179,13,324_326_280_397_385_91_85_314_347_83_77_75_310_236_376_231_198_196_195_180_315_185_179,13
331_52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179,13,331_52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179,13
331_52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179,13,331_52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179,13
390_344_168_374_156_157_176_177_189_190_211_202_235_246_34_33_30_236_376_231_198_196_195_181,12,390_344_168_374_156_157_176_177_189_191_193_181,12
360_0_366_351_248_30_236_376_231_198_196_195_180_315_184_183,10,360_0_366_351_248_30_236_376_231_198_196_195_180_315_184_183,10
48_45_43_38_36_248_30_236_376_231_198_196_195_180_315_185,12,48_45_42_47_355_20_23_73_21_85_314_347_83_77_75_310_236_376_231_198_196_195_180_315_185,12
55_132_134_52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185,12,55_132_134_52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185,12
283_21_85_314_347_83_77_75_310_236_376_231_198_196_195_180_315_185,12,283_21_85_314_347_83_77_75_310_236_376_231_198_196_195_180_315_185,12
283_21_85_314_347_83_77_75_310_236_376_231_198_196_195_180_315_185,12,283_21_85_314_347_83_77_75_310_236_376_231_198_196_195_180_315_185,12
324_326_280_397_385_91_85_314_347_83_77_75_310_236_376_231_198_196_195_180_315_185,13,324_326_280_397_385_91_85_314_347_83_77_75_310_236_376_231_198_196_195_180_315_185,13
345_169_369_168_374_156_157_176_177_189_191_193_180_315_185,11,345_169_369_168_374_156_157_176_177_189_191_193_180_315_185,11
345_169_369_168_374_156_157_176_177_189_191_193_180_315_185,12,345_169_369_168_374_156_157_176_177_189_191_193_180_315_185,12
324_326_280_397_385_91_85_314_347_83_77_75_310_236_376_231_198_196_195_180_316_187,13,324_326_280_397_385_90_88_0_366_351_248_30_236_376_231_198_196_195_180_315_185_178_410_412_186_222_221_0_366_351_248_30_236_376_231_198_196_195_180_315_185_178_410_412_186_222_221_0_366_351_248,13
345_169_369_168_374_156_157_176_177_189_191_193_180_316_187,10,345_169_369_168_374_156_157_176_177_189_191_193_180_315_185_178_410_412_186_222_221_0_366_351_248_30_236_376_231_198_196_195_180_315_185_178_410_412_186_222_221_0_366_351_248_30_236_376_231_198_196,10
324_326_280_397_385_91_85_314_347_83_77_75_310_236_376_231_198_196,13,324_326_280_397_385_91_85_314_347_83_77_75_310_236_376_231_198_196,13
395_7_340_27_72_409_366_351_248_30_236_376_231_198_196,13,395_7_340_27_72_409_366_351_248_30_236_376_231_198_196,13
55_132_134_52_360_0_366_351_248_30_236_376_231_198_197,12,55_132_134_52_360_0_366_351_248_30_236_376_231_198_196_195_181_222_221_0_366_351_248_30_236_376_231_198_196_195_181_222_221_0_366_351_248_30_236_376_231_198_196_195_181_222_221_0_366_351_248,12
324_326_280_397_385_91_85_314_347_83_77_75_310_236_376_231_198_197,11,324_326_280_397_385_91_85_314_347_83_77_75_310_236_376_231_198_196_195_181_222_221_0_366_351_248_30_236_376_231_198_196_195_181_222_221_0_366_351_248_30_236_376_231_198_196_195_181_222_221_0,11
395_7_340_27_72_409_366_351_248_30_236_376_231_198_197,10,395_7_340_27_72_409_366_351_248_30_236_376_231_198_196_195_181_222_221_0_366_351_248_30_236_376_231_198_196_195_181_222_221_0_366_351_248_30_236_376_231_198_196_195_181_222_221_0_366_351_248,10
324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200,11,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_235_246_34_33_30_237_233_235_246_34_33_30_237_233_235_246_34_33_30_237_233_235_246_34_33_30_237_233_235_246_34_33_30_237_233_235,11
345_169_369_168_374_156_157_176_177_189_191_193_181_223_214_297_203,13,345_169_369_168_374_156_157_176_177_189_191_193_180_315_185_179_418_251_164_174_159_167_166_391_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_391_0_366_351_248,13
345_169_369_168_374_156_157_176_177_189_191_193_181_223_214_297_203,13,345_169_369_168_374_156_157_176_177_189_191_193_180_315_185_179_418_251_164_174_159_167_166_391_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_391_0_366_351_248,13
345_169_369_168_374_156_157_176_177_189_191_193_181_223_214_297_203,13,345_169_369_168_374_156_157_176_177_189_191_193_180_315_185_179_418_251_164_174_159_167_166_391_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_391_0_366_351_248,13
345_169_369_168_374_156_157_176_177_189_191_193_181_223_214_297_203,13,345_169_369_168_374_156_157_176_177_189_191_193_180_315_185_179_418_251_164_174_159_167_166_391_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_391_0_366_351_248,13
345_169_369_168_374_156_157_176_177_189_191_193_181_223_214_297_203,13,345_169_369_168_374_156_157_176_177_189_191_193_180_315_185_179_418_251_164_174_159_167_166_391_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_391_0_366_351_248,13
390_344_168_374_156_157_176_177_189_191_193_181_223_214_297_203,13,390_343_390_343_390_343_390_343_390_343_390_343_390_343_390_343_390_343_390_343_390_343_390_343_390_343_390_343_390_343_390_343_390_343_390_343_390_343_390_343_390_343_390_343_390_343_390_343_390_343_390,13
347_83_77_75_310_237_232_33_30_236_376_231_198_197_291_299_204,12,347_82_25_23_73_22_329_88_0_366_351_248_31_357_40_50_20_23_73_22_329_88_0_366_351_248_31_357_40_50_20_23_73_22_329_88_0_366_351_248_31_357_40_50_20_23_73_22_329_88_0,12
91_85_314_347_83_77_75_310_237_233_235_246_34_33_30_236_376_231_199_216_207,10,91_85_313_79_81_117_301_382_275_273_372_306_0_366_351_248_31_357_40_50_20_23_73_22_329_88_0_366_351_248_31_357_40_50_20_23_73_22_329_88_0_366_351_248_31_357_40_50_20_23_73,10
283_21_85_314_347_83_77_75_310_236_376_231_198_196_195_181_222,12,283_22_329_88_0_366_351_248_30_236_376_231_198_196_195_181_222,12
324_326_280_397_385_91_85_314_347_83_77_75_310_236_376_231_198_196_195_180_315_185_179_416_422_335_176_177_189_191_193_181_222,12,324_326_280_397_385_91_85_314_347_83_77_75_310_236_376_231_198_196_195_181_222,12
324_326_280_397_385_91_85_314_347_83_77_75_310_236_376_231_198_196_195_181_222,14,324_326_280_397_385_91_85_314_347_83_77_75_310_236_376_231_198_196_195_181_222,14
324_326_280_397_385_91_85_314_347_83_77_75_310_236_376_231_198_196_195_181_222,14,324_326_280_397_385_91_85_314_347_83_77_75_310_236_376_231_198_196_195_181_222,14
367_400_287_200_208_145_146_148_227_151_152_153_156_157_176_177_189_191_193_181_222,10,367_400_286_235_246_34_33_30_236_376_231_198_196_195_181_222,10
395_7_340_27_72_409_366_351_248_30_236_376_231_198_196_195_181_222,11,395_7_340_27_72_409_366_351_248_30_236_376_231_198_196_195_181_222,11
324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227,11,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227,11
324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234,12,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234,12
324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234,12,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234,12
345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_30_236,11,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_30_236,11
324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_235_245_239,13,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_235_245_239,13
246_34_33_31_357_40_49_363_355_19_24_348_347_83_77_75_310_237_233_235_245_239_240,11,246_34_33_30_237_233_235_245_239_240,11
300_198_196_195_180_315_184_183_177_189_190_211_202_235_245_239_240,12,300_198_196_195_180_315_184_183_177_189_190_211_202_235_245_239_240,12
324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_235_245_239_240,10,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_235_245_239_240,10
324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_235_245_239_240,10,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_235_245_239_240,10
324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_235_245_239_240,10,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_235_245_239_240,10
324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_235_245_239_240,10,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_235_245_239_240,10
324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_235_245_239_240,10,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_235_245_239_240,10
324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_235_245_239_240,11,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_235_245_239_240,11
324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_235_245_239_240,12,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_235_245_239_240,12
324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_235_245_239_240,12,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_235_245_239_240,12
324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_235_245_239_240,13,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_235_245_239_240,13
324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_235_245_239_240,13,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_235_245_239_240,13
326_280_397_385_91_85_314_347_83_77_75_310_237_233_235_245_239_240,10,326_280_397_385_91_85_314_347_83_77_75_310_237_233_235_245_239_240,10
345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_240,12,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_240,12
390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_240,10,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_240,10
390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_240,10,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_240,10
390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_240,10,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_240,10
390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_240,10,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_240,10
390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_240,11,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_240,11
390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_240,11,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_240,11
390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_240,11,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_240,11
390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_240,11,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_240,11
390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_240,12,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_240,12
390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_240,12,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_240,12
390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_240,12,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_240,12
390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_240,13,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_240,13
390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_240,13,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_240,13
390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_240,13,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_240,13
345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241,13,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241,13
195_180_315_184_183_177_189_190_211_202_235_245_239_241_242,10,195_180_315_184_183_177_189_190_211_202_235_245_239_241_242,10
206_196_195_180_315_184_183_177_189_190_211_202_235_245_239_241_242,11,206_196_195_180_315_184_183_177_189_190_211_202_235_245_239_241_242,11
324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_235_245_239_241_242,11,324_326_280_397_385_90_88_0_365_361_352_1_127_408_70_56_10_58_341_7_340_27_70_56_10_58_341_7_340_27_70_56_10_58_341_7_340_27_70_56_10_58_341_7_340_27_70_56_10_58_341,11
324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_235_245_239_241_242,13,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_235_245_239_241_242,13
345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,10,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,10
345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,10,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,10
345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,10,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,10
345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,10,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,10
345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,11,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,11
345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,12,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,12
345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,12,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,12
345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,12,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,12
345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,12,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,12
345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,12,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,12
345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,12,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,12
345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,12,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,12
345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,12,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,12
345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,13,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,13
345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,13,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,13
345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,13,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,13
369_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,10,369_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,10
390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,10,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,10
390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,10,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,10
390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,10,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,10
390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,10,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,10
390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,10,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,10
390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,10,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,10
390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,11,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,11
390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,11,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,11
390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,11,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,11
390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,11,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,11
390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,11,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,11
390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,11,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,11
390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,11,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,11
390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,11,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,11
390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,11,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,11
390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,11,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,11
390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,11,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,11
390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,11,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,11
390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,11,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,11
390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,11,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,11
390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,12,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,12
390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,12,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,12
390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,12,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,12
390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,12,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,12
390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,12,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,12
390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,12,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,12
390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,12,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,12
390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,13,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,13
390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,13,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,13
390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,13,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,13
390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,13,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,13
390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,13,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,13
414_252_334_157_176_177_189_190_211_202_235_245_239_241_242,11,414_252_333_335_176_177_189_190_211_202_235_245_239_241_242,11
414_252_334_157_176_177_189_190_211_202_235_245_239_241_242,13,414_252_333_335_176_177_189_190_211_202_235_245_239_241_242,13
345_169_369_168_374_156_157_176_177_189_190_211_202_235_246,13,345_169_369_168_374_156_157_176_177_189_190_211_202_234_200_208_145_147_0_366_351_248_30_237_233_235_245_239_240_0_366_351_248_30_237_233_235_245_239_240_0_366_351_248_30_237_233_235_245_239_240,13
345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_356_36_248,13,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_356_36_248,13
15_34_33_30_236_376_231_198_196_195_180_315_185_179_418_251,14,15_34_33_30_236_376_231_198_196_195_180_315_185_179_418_251,14
331_52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179_418_251,12,331_52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179_418_251,12
395_7_340_27_72_409_366_351_248_30_236_376_231_198_196_195_180_315_185_179_418_251,12,395_7_340_27_72_409_366_351_248_30_236_376_231_198_196_195_180_315_185_179_418_251,12
52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179_418_251_164_173_257_253,10,52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179_418_251_164_173_257_253,10
30_236_376_231_198_196_195_180_315_185_179_418_251_164_173_257,10,30_236_376_231_198_196_195_180_315_185_179_418_251_164_173_257,10
75_310_236_376_231_198_196_195_180_315_185_179_418_251_163_258,10,75_310_236_376_231_198_196_195_180_315_185_179_418_251_163_258,10
237_233_234_200_208_145_146_148_227_151_152_153_155_163_258,10,237_233_234_200_208_145_146_148_227_151_152_153_155_163_258,10
395_7_340_27_72_409_366_351_248_30_236_376_231_198_196_195_180_315_185_179_418_251_163_258,12,395_7_340_27_72_409_366_351_248_30_236_376_231_198_196_195_180_315_185_179_418_251_163_258,12
15_34_33_31_357_40_50_20_23_73_21_84_80_118_124_116_278_276_267_265_262_261_260,11,15_34_33_31_357_40_50_19_24_349_313_79_81_117_301_382_275_273_372_306_0_365_362_358_380_377_42_47_355_19_24_349_313_79_81_117_301_382_275_273_372_306_0_365_362_358_380_377_42_47_355,11
345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_21_84_81_117_301_382_276_267_265_262_261_260,12,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_19_24_349_313_79_81_117_301_382_275_273_372_306_0_365_362_358_380_377_42_47_355_19_24_349_313_79_81_117_301,12
395_7_340_27_72_409_365_362_358_380_377_42_47_355_19_24_349_313_79_80_118_124_116_278_276_267_265_262_261_260,10,395_7_340_27_72_409_365_362_358_380_377_42_47_355_19_24_349_313_79_81_117_301_382_275_273_372_306_0_365_362_358_380_377_42_47_355_19_24_349_313_79_81_117_301_382_275_273_372_306_0_365,10
